Restaurant ID,Restaurant Name,Country,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
18249081,Oh! China,India,New Delhi,"Chinese, Thai",600,No,Yes,2.9,16
3632,Punjabi Zaika,India,New Delhi,"Chinese, Mughlai, North Indian",500,No,Yes,2.9,39
7602,Rabi Snacks Corner,India,New Delhi,Fast Food,300,No,No,3.4,18
1712,Republic of Chicken,India,New Delhi,"Raw Meats, Fast Food",400,No,No,2.7,29
300984,Roll n Roast,India,New Delhi,"North Indian, Chinese",250,No,No,3.3,27
18429374,Roller's High,India,New Delhi,"North Indian, Mughlai",500,No,No,3.2,13
18354627,Royal Chick 'N',India,New Delhi,"Mughlai, North Indian, Chinese",300,No,Yes,3.3,18
301522,Royal Kolkata Biryani,India,New Delhi,"North Indian, Chinese, Biryani",500,No,No,2.7,14
4973,Sameer's Restaurant,India,New Delhi,"North Indian, Mughlai, Chinese",600,No,Yes,2.5,59
3504,Sanjha Chulha,India,New Delhi,"North Indian, Mughlai",550,No,No,2.7,70
18459885,Shepherd's,India,New Delhi,Fast Food,250,No,No,3.1,9
301405,Soya King,India,New Delhi,North Indian,350,No,Yes,2.6,71
18457499,Tasty Tonight,India,New Delhi,"North Indian, Mughlai, Chinese",1000,No,No,3.1,5
18445801,The Mustard,India,New Delhi,Bengali,500,No,Yes,2.9,7
18355107,Tibb's Frankie,India,New Delhi,Fast Food,250,No,No,3.2,16
18175328,Wazwaan Restaurant,India,New Delhi,"North Indian, Kashmiri",1200,Yes,No,3.2,14
7613,Yummi Kolkataa,India,New Delhi,Mithai,150,No,No,3.2,17
7599,Annapurna Sweet House,India,New Delhi,"Mithai, Street Food",150,No,No,3.7,55
302936,Ashirbad,India,New Delhi,Fast Food,100,No,No,3.6,46
4608,Chocolatiers - The Chocolate Boutique,India,New Delhi,Desserts,100,No,Yes,3.8,112
7636,Dadu Cutlet Shop,India,New Delhi,Fast Food,100,No,No,3.7,99
18373691,Dogs & Wiches,India,New Delhi,"Continental, American, Fast Food",600,No,Yes,3.9,109
7634,Maa Tara,India,New Delhi,"Bengali, North Indian",500,No,Yes,3.6,458
306028,My Spice Kitchen,India,New Delhi,"North Indian, Mughlai, Biryani, Bengali",650,No,Yes,3.5,443
311637,The Singing Tree,India,New Delhi,Beverages,100,No,No,3.7,33
18396171,Baba Chicken Ludhiana Wale,India,New Delhi,North Indian,400,No,No,0.0,0
18282004,Bengal Snacks,India,New Delhi,Fast Food,300,No,No,0.0,2
17989134,Brownies & More,India,New Delhi,"Bakery, Fast Food",100,No,No,0.0,2
18371396,Cafe Coffee Day,India,New Delhi,Cafe,450,No,No,0.0,1
18396942,Craving Cure,India,New Delhi,Chinese,300,No,No,0.0,2
18311930,Cuisine,India,New Delhi,"North Indian, Mughlai, Chinese",1500,Yes,No,0.0,1
18481320,Food Nation,India,New Delhi,"North Indian, Chinese",400,No,No,0.0,0
7635,Kamala Fast Food & Chinese,India,New Delhi,"Fast Food, Chinese",300,No,No,0.0,2
7601,Lokenath Sweets,India,New Delhi,Mithai,150,No,No,0.0,2
18471314,Me and My Cake,India,New Delhi,"Bakery, Desserts",500,No,No,0.0,0
309080,Chulha Punjabi Da,India,New Delhi,"North Indian, Chinese, Fast Food",600,No,Yes,2.4,41
1358,Viva Hyderabad,India,New Delhi,"Biryani, North Indian",600,No,Yes,2.3,38
5890,Metro Grill,India,New Delhi,"North Indian, Mughlai, Chinese",1200,Yes,No,3.4,134
306513,Cafe Cruise,India,New Delhi,"Continental, North Indian, Chinese",1300,Yes,Yes,2.8,153
3089,Etal The Lounge Bar,India,New Delhi,"North Indian, Italian, Fast Food",2000,Yes,No,3.2,455
7061,"Game of Legends - Sports Bar, Grill, & Lounge",India,New Delhi,"North Indian, Chinese, Continental, Italian",1450,Yes,No,3.5,609
18466981,Al-raaya,India,New Delhi,"Mughlai, North Indian",600,No,Yes,3.1,6
311093,Authentique Bites,India,New Delhi,"Bakery, Desserts",300,No,No,3.2,17
1055,Embassy,India,New Delhi,"Chinese, North Indian, Mughlai",1200,Yes,Yes,3.0,126
18144470,Narang's Bake 'n' Cake,India,New Delhi,"Bakery, Desserts, Fast Food",400,No,No,3.0,4
4089,New Darvesh,India,New Delhi,"Chinese, South Indian",150,No,No,3.0,14
311030,1UP,India,New Delhi,"Cafe, Italian, Continental",1200,Yes,No,3.5,282
9927,Gujarati Samaj Santushti,India,New Delhi,Gujarati,300,No,No,3.6,95
18261146,Hind Bakery & Chinese Fast Food,India,New Delhi,Fast Food,150,No,No,0.0,0
18424867,Hot Pot,India,New Delhi,Chinese,150,No,No,0.0,0
18361206,Punjabi Flavour,India,New Delhi,North Indian,100,No,No,0.0,0
18424863,Saras Fast Food Feast,India,New Delhi,"North Indian, South Indian",300,No,No,0.0,0
18361208,Shama Chicken Corner,India,New Delhi,"Biryani, Mughlai",300,No,No,0.0,0
18398580,The Night Owl,India,New Delhi,Chinese,450,No,No,0.0,1
18424871,Wimpy Sweets And Confectioners,India,New Delhi,"Bakery, Mithai",150,No,No,0.0,1
18245298,Boa Village,India,New Delhi,"Chinese, Japanese, Korean, Asian",1500,Yes,No,4.0,225
2578,Anand Ji Restaurant,India,New Delhi,"Chinese, North Indian, Street Food",400,No,No,3.1,28
709,Baskin Robbins,India,New Delhi,Ice Cream,300,No,Yes,3.3,38
1530,Bhoj Restaurant,India,New Delhi,"North Indian, Mughlai",600,No,No,2.8,54
1401,Brijwasi Restaurant,India,New Delhi,"North Indian, Chinese",400,No,No,2.8,32
602,Cafe Coffee Day - The Lounge,India,New Delhi,Cafe,750,No,No,3.2,42
18175255,Cafe Coffee Day,India,New Delhi,Cafe,450,No,No,2.9,10
2245,Chaat Tadka,India,New Delhi,"North Indian, Street Food, Mithai",300,No,No,2.8,27
2585,Chawla's Unique Chicken Corner,India,New Delhi,"North Indian, Mughlai",600,No,Yes,3.2,35
908,Dawat Khana,India,New Delhi,"North Indian, Mughlai, Chinese",1600,Yes,Yes,2.5,82
924,Eat n Joy,India,New Delhi,"North Indian, Mughlai",500,No,No,3.2,24
7715,Khan Chicken Biryani,India,New Delhi,North Indian,500,No,No,2.9,14
9476,Kolkata Roll,India,New Delhi,Fast Food,200,No,No,2.8,16
7686,R. Ahmad Food,India,New Delhi,North Indian,450,No,No,3.0,11
305621,Sab Ke Khatir,India,New Delhi,"North Indian, Mughlai",600,No,No,3.1,14
1324,Bon Bon Pastry Shop,India,New Delhi,"Bakery, Desserts, Fast Food",150,No,No,3.5,91
927,Moksha,India,New Delhi,North Indian,1400,Yes,Yes,3.7,110
929,Pebble Street,India,New Delhi,"Italian, Tex-Mex, Continental, North Indian",2400,Yes,Yes,3.9,886
18256780,Kebab Gallery,India,New Delhi,"North Indian, Lucknowi",400,No,No,0.0,3
53,Amber,India,New Delhi,"North Indian, Chinese, Mughlai",1800,Yes,Yes,2.6,152
307271,Attitude Kitchen & Bar,India,New Delhi,"North Indian, Continental, Italian",1300,Yes,No,2.9,140
596,Cafe Coffee Day,India,New Delhi,Cafe,450,No,Yes,3.4,277
1127,Castle 9,India,New Delhi,"Finger Food, Continental, North Indian, Chinese",1350,Yes,No,3.1,1099
4237,Costa Coffee,India,New Delhi,Cafe,600,No,No,3.4,76
6357,Delhi Darbar Dhaba,India,New Delhi,"North Indian, Chinese",400,No,Yes,3.2,89
18124357,Garam Dharam,India,New Delhi,North Indian,1300,No,Yes,3.4,1523
2913,Gola Sizzlers,India,New Delhi,"Chinese, North Indian, Mughlai, Continental",1600,No,Yes,3.0,671
3506,Indian Coffee House,India,New Delhi,Fast Food,200,No,No,3.3,1300
6957,My Bar Lounge & Restaurant,India,New Delhi,"North Indian, Chinese, Italian, Continental",1000,No,No,2.7,2460
304154,My Bar Square,India,New Delhi,"North Indian, Chinese, Italian, Continental",1000,No,No,2.5,1096
320,Sagar Ratna,India,New Delhi,"South Indian, North Indian, Chinese",600,No,Yes,3.4,499
310097,The Immigrant Cafe,India,New Delhi,"North Indian, Italian, Continental",1100,Yes,No,3.2,563
18418277,MOB Brewpub,India,New Delhi,"Continental, Italian, Asian, Indian",1500,No,No,4.7,52
310143,Naturals Ice Cream,India,New Delhi,Ice Cream,150,No,Yes,4.9,2620
18357940,Zabardast Indian Kitchen,India,New Delhi,North Indian,1800,Yes,Yes,4.7,242
300595,Anand Restaurant,India,New Delhi,North Indian,550,No,No,3.6,485
55,Berco's,India,New Delhi,"Chinese, Thai",1100,Yes,Yes,3.9,2639
3168,Blues,India,New Delhi,"Continental, Mexican, American, Italian, North Indian",1100,No,No,3.7,706
310448,Burger King,India,New Delhi,"Burger, Fast Food",500,No,Yes,3.8,2093
18237356,Burger Singh,India,New Delhi,"Burger, Juices, Finger Food",500,No,Yes,3.6,548
303034,Cafe Coffee Day The Square,India,New Delhi,Cafe,700,No,No,3.6,361
18070476,Cafe Dalal Street,India,New Delhi,"North Indian, European",1500,No,Yes,3.7,873
18208892,Cafe Hawkers,India,New Delhi,"Chinese, Continental, North Indian",1200,Yes,No,3.7,673
18157403,Cafe Public Connection,India,New Delhi,"North Indian, Continental, Italian",1200,Yes,No,3.7,834
18306523,Cafí© MRP,India,New Delhi,"North Indian, Chinese, Italian, Mediterranean",800,No,No,3.6,877
309664,Caffe Tonino,India,New Delhi,"Pizza, Italian, Cafe",1400,No,Yes,3.9,1503
302878,Cha Bar,India,New Delhi,Cafe,500,No,No,3.9,3206
18237315,Chaayos,India,New Delhi,"Cafe, Tea",400,No,Yes,3.9,487
305453,Chew - Pan Asian Cafe,India,New Delhi,"Asian, Japanese, Chinese, Thai",1700,Yes,Yes,3.9,2003
308804,China Garden,India,New Delhi,Chinese,1800,Yes,No,3.9,496
311373,Desi Vibes,India,New Delhi,"North Indian, Mughlai",1400,Yes,Yes,3.9,841
143,Domino's Pizza,India,New Delhi,"Pizza, Fast Food",700,No,No,3.7,336
308772,Dunkin' Donuts,India,New Delhi,"Burger, Desserts, Fast Food",600,No,Yes,3.8,271
7855,Dunkin' Donuts,India,New Delhi,"Burger, Desserts, Fast Food",600,No,No,3.9,1607
66,Embassy,India,New Delhi,"North Indian, Continental, European",2000,Yes,Yes,3.5,706
18235515,FLYP@MTV,India,New Delhi,"North Indian, Mexican, Italian, Continental",1200,Yes,No,3.9,1379
18247029,GoGourmet,India,New Delhi,"Healthy Food, Beverages",600,No,Yes,3.7,55
2298,Haldiram's,India,New Delhi,"Street Food, North Indian, South Indian, Chinese, Mithai",550,No,No,3.9,1151
310490,Indian Grill Company,India,New Delhi,"North Indian, Continental",1300,Yes,Yes,3.7,626
1896,Jain Chawal Wale,India,New Delhi,North Indian,250,No,Yes,3.8,301
18157384,Jungle Jamboree,India,New Delhi,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,Yes,No,3.8,1174
2903,Kake Da Hotel,India,New Delhi,North Indian,600,No,No,3.5,2185
301653,Kebab Xpress,India,New Delhi,"North Indian, Mughlai",600,No,Yes,3.5,321
2195,KFC,India,New Delhi,"American, Fast Food",500,No,Yes,3.7,427
7367,Khan Chacha,India,New Delhi,"Mughlai, North Indian",650,No,Yes,3.7,1189
309586,Kinbuck 2,India,New Delhi,"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1600,No,No,3.9,1286
18398577,La Americana,India,New Delhi,"Fast Food, Burger",450,No,Yes,3.7,41
18435302,Lady Baga,India,New Delhi,"Goan, Seafood",1200,Yes,Yes,3.7,277
9747,Life Caffe,India,New Delhi,"Cafe, North Indian, Italian, Japanese, Fast Food",1500,Yes,No,3.6,391
312603,Lord of the Drinks,India,New Delhi,"European, Chinese, North Indian, Italian",2200,No,No,3.9,2589
177,McDonald's,India,New Delhi,"Fast Food, Burger",500,No,No,3.8,388
9959,McDonald's,India,New Delhi,"Fast Food, Burger",500,No,No,3.7,108
17953940,Moets Arabica,India,New Delhi,"Arabian, Mexican",400,No,No,3.5,95
18441674,Mother India,India,New Delhi,"Bengali, South Indian, North Indian, Mughlai",1400,Yes,No,3.9,66
307485,Mughlai Junction,India,New Delhi,"North Indian, Mughlai",650,No,Yes,3.9,310
311057,My Bar Headquarters,India,New Delhi,"North Indian, Mughlai, Chinese",1000,No,No,3.7,3010
309955,Nando's,India,New Delhi,"Portuguese, African",1200,No,Yes,3.7,1891
870,Nizam's Kathi Kabab,India,New Delhi,"North Indian, Fast Food",900,No,No,3.8,1761
18265711,Oh My God,India,New Delhi,"North Indian, Italian, Chinese, Mexican",1400,Yes,No,3.8,367
312601,Open House Cafe,India,New Delhi,"North Indian, Chinese, Mughlai, Italian",1700,No,No,3.8,1158
3393,Parikrama - The Revolving Restaurant,India,New Delhi,"North Indian, Chinese, Mughlai",2400,No,No,3.8,2689
2504,Pind Balluchi,India,New Delhi,"North Indian, Mughlai",1000,No,Yes,3.6,1434
249,Pizza Hut,India,New Delhi,"Italian, Pizza, Fast Food",1000,No,Yes,3.5,541
18423119,Playboy Cafe,India,New Delhi,"North Indian, Chinese, Continental",1100,Yes,No,3.7,140
18255131,Privee',India,New Delhi,"Chinese, Italian, Continental, North Indian",5000,No,No,3.6,61
306497,Punjabi By Nature,India,New Delhi,"North Indian, Mughlai",1100,Yes,Yes,3.7,1256
308244,Quote - The Eclectic Bar and Lounge,India,New Delhi,"Finger Food, European, North Indian",1700,Yes,No,3.5,422
1286,Rajdhani Thali Restaurant,India,New Delhi,"Gujarati, Rajasthani",950,No,Yes,3.6,1134
4815,Route 04,India,New Delhi,"Continental, American, Tex-Mex, North Indian",1350,Yes,Yes,3.5,1863
310463,Sbarro,India,New Delhi,"Pizza, Italian",600,No,Yes,3.5,1311
5738,Shake Square,India,New Delhi,"Beverages, Fast Food",400,No,No,3.7,1333
302310,South Indian Snacks,India,New Delhi,South Indian,300,No,No,3.6,50
5608,SSKY Bar & Lounge,India,New Delhi,"Mughlai, North Indian, Chinese",2800,Yes,No,3.5,92
307535,Starbucks,India,New Delhi,Cafe,700,No,No,3.8,552
302156,Subway,India,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,3.5,276
18238278,Tamasha,India,New Delhi,"Finger Food, North Indian, Continental, Italian",1600,Yes,No,3.7,1801
905,Taste of China,India,New Delhi,"Chinese, Thai",1200,No,Yes,3.5,327
18281985,Teddy Boy,India,New Delhi,"North Indian, Continental, Finger Food",1200,Yes,No,3.9,1020
307060,The Beer Cafe - BIGGIE,India,New Delhi,"Finger Food, North Indian, Italian",1250,Yes,No,3.8,645
18425735,The Flying Saucer Cafe,India,New Delhi,"Italian, Mediterranean, Continental, North Indian",1500,Yes,No,3.9,143
313256,The Junkyard Cafe,India,New Delhi,"North Indian, Mediterranean, Asian",1500,Yes,No,3.9,1545
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,"North Indian, Continental, Fast Food",1400,Yes,No,3.5,63
307190,The Rolling Joint,India,New Delhi,Fast Food,450,No,Yes,3.9,783
309790,The Vault Cafe,India,New Delhi,"North Indian, Mediterranean, Asian, Continental",1600,Yes,No,3.9,3413
1800,Veda,India,New Delhi,"North Indian, Mughlai",1600,Yes,Yes,3.9,1087
301605,Warehouse Cafe,India,New Delhi,"American, Continental, Italian, North Indian, Asian",1500,No,No,3.7,4914
3394,Zaffran,India,New Delhi,"North Indian, Mughlai",1800,No,No,3.9,908
930,Zen,India,New Delhi,"Chinese, Japanese, Italian, Seafood",1500,Yes,Yes,3.5,1027
309073,Zizo,India,New Delhi,"Lebanese, Mediterranean, Middle Eastern, Arabian",1600,Yes,Yes,3.9,1071
18414481,Kettle & Kegs,India,New Delhi,Tea,200,No,Yes,0.0,0
18469940,Ovenstory Pizza,India,New Delhi,"Pizza, Fast Food",500,No,Yes,0.0,0
18380361,Shree Hari Vaishnav Dhaba,India,New Delhi,North Indian,200,No,No,0.0,2
18241537,38 Barracks,India,New Delhi,"North Indian, Italian, Asian, American",1600,Yes,No,4.4,840
309478,Ambrosia Bliss,India,New Delhi,"North Indian, Chinese, Italian, Continental",1800,Yes,No,4.0,2333
7713,Ardor 2.1,India,New Delhi,"North Indian, Chinese, Continental, Italian",2000,Yes,Yes,4.1,1821
301489,Barbeque Nation,India,New Delhi,"North Indian, Chinese",1600,No,No,4.1,3164
18219558,Bikkgane Biryani,India,New Delhi,"Biryani, North Indian, Hyderabadi",800,No,Yes,4.1,740
18216915,Biryani Blues,India,New Delhi,"Biryani, Hyderabadi",1000,No,Yes,4.0,510
306913,Caffe 9,India,New Delhi,"North Indian, Chinese, Italian, American, Middle Eastern",2000,Yes,Yes,4.2,961
307036,Excuse Me Boss,India,New Delhi,"Continental, North Indian, Chinese, Mediterranean",1800,Yes,No,4.1,799
67,Fa Yian,India,New Delhi,Chinese,1200,Yes,No,4.0,412
18233593,Farzi Cafe,India,New Delhi,Modern Indian,2200,No,No,4.4,1942
310123,Fuji Japanese Restaurant,India,New Delhi,Japanese,2000,Yes,Yes,4.0,312
18198427,Healthy Routes,India,New Delhi,"Healthy Food, Continental, Italian",800,Yes,Yes,4.0,361
18279449,HotMess,India,New Delhi,"North Indian, Mediterranean, Asian, Fast Food",1900,Yes,Yes,4.3,1129
18237357,House of Commons,India,New Delhi,"Continental, Mediterranean, Italian, North Indian",1400,Yes,No,4.0,510
18254558,Johnny Rockets,India,New Delhi,"Fast Food, American, Burger",1000,Yes,No,4.0,608
18246991,Odeon Social,India,New Delhi,"Continental, American, Asian, North Indian",1600,Yes,No,4.1,1959
309859,Pebble Street,India,New Delhi,"Italian, Mexican, Continental, North Indian, Finger Food",1800,Yes,Yes,4.0,817
18294220,Piali - The Curry Bistro,India,New Delhi,"Asian, North Indian",1200,Yes,Yes,4.1,400
900,Saravana Bhavan,India,New Delhi,South Indian,500,No,Yes,4.3,5172
18294269,Smoke On Water,India,New Delhi,"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1300,Yes,No,4.1,467
301011,Starbucks,India,New Delhi,Cafe,700,No,No,4.1,2417
18423151,The Darzi Bar & Kitchen,India,New Delhi,"North Indian, European",1500,Yes,No,4.1,90
18454488,The G.T. Road,India,New Delhi,"North Indian, Afghani, Mughlai",1500,Yes,No,4.3,104
308579,The Town House Cafe,India,New Delhi,"Continental, North Indian, Italian, Asian",2100,Yes,No,4.0,2252
910,United Coffee House,India,New Delhi,"North Indian, European, Asian, Mediterranean",2200,Yes,No,4.1,1838
18216901,Unplugged Courtyard,India,New Delhi,"North Indian, Continental",1600,No,No,4.0,1758
301114,Wenger's Deli,India,New Delhi,"Bakery, Desserts, Fast Food",400,No,No,4.3,1457
4249,Wenger's,India,New Delhi,"Bakery, Fast Food, Desserts",400,No,No,4.3,3591
18222559,{Niche} - Cafe & Bar,India,New Delhi,"North Indian, Chinese, Italian, Continental",1500,Yes,No,4.1,492
303204,Chicken Minar,India,New Delhi,"North Indian, Chinese",550,No,Yes,2.6,77
8881,G Lounge,India,New Delhi,"North Indian, Chinese",1900,Yes,No,3.2,113
310435,Gyms Kook,India,New Delhi,"Continental, Italian",1000,No,Yes,3.3,140
309051,Burger Joint,India,New Delhi,"Fast Food, Burger",300,No,Yes,3.5,164
1258,Eleven to Eleven,India,New Delhi,"North Indian, Chinese",800,No,Yes,3.1,106
2308,Le Chef,India,New Delhi,"North Indian, Chinese, South Indian, Fast Food",800,Yes,Yes,3.3,134
195,McDonald's,India,New Delhi,"Fast Food, Burger",500,No,Yes,3.4,77
307940,The Buffet Wagon,India,New Delhi,North Indian,950,Yes,Yes,3.3,102
2299,Haldiram's,India,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,No,No,3.5,217
5997,Connexions Bar - Crowne Plaza,India,New Delhi,Finger Food,2500,Yes,No,3.5,59
6030,Deli - Crowne Plaza,India,New Delhi,"Bakery, Desserts, Fast Food",1000,Yes,No,3.7,60
307362,Lobby Lounge - Crowne Plaza,India,New Delhi,Finger Food,2000,Yes,No,3.2,12
307361,Infinity - Crowne Plaza,India,New Delhi,"Italian, North Indian, Continental",3000,Yes,No,3.5,115
3105,Fiery Grills,India,New Delhi,"North Indian, Chinese, Continental",1000,Yes,No,3.3,165
9960,McDonald's,India,New Delhi,"Fast Food, Burger",500,No,Yes,3.4,41
18014114,Cafe Desire,India,New Delhi,"North Indian, Chinese, Finger Food",1000,Yes,Yes,3.5,116
3894,Haldiram's,India,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",550,No,No,3.7,262
306479,Kake Di Hatti,India,New Delhi,North Indian,400,No,No,3.5,364
3183,Akash Deep,India,New Delhi,"North Indian, South Indian, Chinese, Fast Food",600,No,No,2.8,28
5451,Al Saad Foods,India,New Delhi,"North Indian, Fast Food",400,No,No,3.2,12
5464,Cafe Coffee Day,India,New Delhi,Cafe,450,No,No,2.8,22
3182,Chandrika,India,New Delhi,North Indian,400,No,No,2.9,6
18057826,Dawat-E-Chaman,India,New Delhi,"North Indian, Mughlai",400,No,No,3.4,45
18275791,Kallu Nihari,India,New Delhi,Mughlai,150,No,No,3.0,6
18261700,King Bikaneri,India,New Delhi,"North Indian, Chinese, Fast Food, South Indian",400,No,No,2.9,6
18228864,Manchanda Bakery,India,New Delhi,"Bakery, Fast Food",200,No,No,3.1,8
310792,McDonald's,India,New Delhi,"Fast Food, Burger",500,No,Yes,2.8,23
18222587,Mehta Restaurant,India,New Delhi,"Street Food, Mithai",150,No,No,3.2,6
309530,Shree Jee Rasoi,India,New Delhi,"North Indian, Chinese",500,No,Yes,3.0,33
5462,Taj Snacks,India,New Delhi,South Indian,200,No,No,3.0,5
3181,Zaika,India,New Delhi,"North Indian, Chinese, Mughlai",600,No,No,3.4,159
9912,Bagli's Kitchen,India,New Delhi,Parsi,500,No,No,3.7,85
3180,Bhaja Govindam,India,New Delhi,"North Indian, South Indian",700,Yes,No,3.8,189
4092,Changezi Chicken,India,New Delhi,"North Indian, Mughlai",500,No,Yes,3.7,519
18261683,Dilli Gate,India,New Delhi,"North Indian, Chinese, Mughlai",500,No,No,3.5,26
4715,Jahangeer Foods,India,New Delhi,"North Indian, Mughlai",600,No,No,3.8,124
481,Moti Mahal,India,New Delhi,"North Indian, Chinese",1100,Yes,No,3.6,711
302232,Nandlal Ka Dhaba,India,New Delhi,"North Indian, Mughlai",500,No,No,3.6,109
1044,Sugandh,India,New Delhi,North Indian,400,No,No,3.7,57
3185,Suvidha Vegetarian,India,New Delhi,North Indian,350,No,No,3.6,88
18292467,Anupam Jalpan,India,New Delhi,North Indian,200,No,No,0.0,0
18390082,Aunty's Kitchen,India,New Delhi,North Indian,100,No,No,0.0,0
18466971,Cafe Coffee Day,India,New Delhi,Cafe,450,No,No,0.0,0
18449652,Delhi 6 Foods,India,New Delhi,North Indian,300,No,No,0.0,0
18288623,Fry Centre,India,New Delhi,North Indian,200,No,No,0.0,0
18345506,Hilal Hotel Nihari,India,New Delhi,Mughlai,400,No,No,0.0,0
18397709,Iqbal's Mughal Cuisine,India,New Delhi,"North Indian, Mughlai",500,No,No,0.0,0
18294896,Kake Di Hatti Punjabi Khana,India,New Delhi,North Indian,200,No,No,0.0,1
6678,Kaushal Dhaba,India,New Delhi,North Indian,150,No,No,0.0,0
18351471,Khan Foods,India,New Delhi,Mughlai,400,No,No,0.0,0
18206818,Kumar Sweet House,India,New Delhi,"Mithai, Street Food",150,No,No,0.0,1
5463,Negi Restaurant,India,New Delhi,North Indian,150,No,No,0.0,0
18345380,Old Delhi Food Factory,India,New Delhi,Mughlai,500,No,No,0.0,3
5450,Parantha Point,India,New Delhi,North Indian,100,No,No,0.0,1
18292465,R.P.W Pizza,India,New Delhi,Pizza,300,No,No,0.0,3
18292472,Rajdhani Restaurant,India,New Delhi,North Indian,400,No,No,0.0,0
18449638,Roll's World,India,New Delhi,Fast Food,200,No,No,0.0,0
18449640,Shree Krishna Dhaba,India,New Delhi,"North Indian, South Indian",100,No,No,0.0,0
18492527,Taj Chicken Point,India,New Delhi,"North Indian, Mughlai",400,No,No,0.0,0
303637,Domino's Pizza,India,New Delhi,"Pizza, Fast Food",700,No,No,2.3,32
304181,Delhi 6 - Royal Cuisine Of The Walled City,India,New Delhi,Mughlai,500,No,No,4.1,271
308183,Food Hub,India,New Delhi,"Bakery, Fast Food",150,No,No,3.0,4
313059,RR China Tawun,India,New Delhi,Chinese,250,No,No,0.0,1
763,Aka Saka,India,New Delhi,"Chinese, Japanese",1200,Yes,No,3.3,176
7557,Anil Mishtan Wala,India,New Delhi,"Mithai, Street Food",100,No,No,3.1,10
525,Barista,India,New Delhi,Cafe,650,No,Yes,3.3,73
7561,Cafe 1 Fast Food,India,New Delhi,"Fast Food, Street Food",200,No,No,3.0,12
18387105,Cake Central - Premier Cake Design Studio,India,New Delhi,"Bakery, Desserts",300,No,No,3.4,13
18451576,Chawla's Tandoori Junction,India,New Delhi,"North Indian, Chinese, Mughlai",600,No,No,3.3,33
580,Chawnsan Chef,India,New Delhi,"Mughlai, North Indian, Chinese",700,No,Yes,3.4,104
308703,Choco Kraft,India,New Delhi,"Bakery, Desserts",300,No,Yes,3.2,12
60,Colonel's Kababz,India,New Delhi,"North Indian, Mughlai",900,Yes,No,3.2,600
305123,Confectionately Seerat's,India,New Delhi,"Bakery, Desserts",600,No,No,3.2,13
18265689,Country Curries,India,New Delhi,"North Indian, Bengali",700,No,Yes,2.7,8
199,Domino's Pizza,India,New Delhi,"Pizza, Fast Food",700,No,No,2.5,78
756,Duggal's Rasoi,India,New Delhi,"North Indian, Mughlai",600,No,No,3.4,35
309801,Firefly India,India,New Delhi,"Bakery, Desserts",500,No,No,3.4,16
18433907,Fluffles - The Fluffy Waffle Co.,India,New Delhi,Desserts,300,No,Yes,2.5,7
311511,Giani's,India,New Delhi,"Ice Cream, Desserts",400,No,Yes,2.8,26
308279,Giani,India,New Delhi,"Ice Cream, Desserts",400,No,Yes,3.3,29
7621,Green Chick Chop,India,New Delhi,"Raw Meats, North Indian, Fast Food",350,No,No,2.7,16
306779,Gulshan Fish & Chicken Fry,India,New Delhi,North Indian,450,No,No,3.2,14
312980,Kitchen22,India,New Delhi,Fast Food,500,No,No,3.1,9
18222580,La Chocoallure,India,New Delhi,Desserts,250,No,No,2.9,7
2878,Little Dragon,India,New Delhi,"Fast Food, Chinese",300,No,No,2.9,102
8902,Maddi Sweet Centre,India,New Delhi,"Mithai, Street Food",150,No,No,3.2,22
18374707,Man Vs Food The Kitchen,India,New Delhi,"North Indian, Mughlai",600,No,Yes,3.1,9
678,MB's,India,New Delhi,"Continental, Chinese, North Indian",1600,Yes,No,3.1,128
3568,Moet's Sizzlers,India,New Delhi,Continental,1600,No,No,3.0,496
18354969,Oberoi's,India,New Delhi,"North Indian, Mughlai",450,No,No,3.2,8
313242,Punjabee's Darbar,India,New Delhi,"North Indian, Chinese",550,No,Yes,3.3,19
309838,Qureshi's Kabab Corner,India,New Delhi,"North Indian, Mughlai",600,No,No,3.4,35
437,Saleem's Restaurant,India,New Delhi,"North Indian, Mughlai, Chinese",600,No,Yes,3.2,53
18303851,Suri Saab Restaurant,India,New Delhi,"North Indian, Chinese, Mughlai",600,No,Yes,3.0,39
307500,The Sweet Boutique,India,New Delhi,Bakery,300,No,No,3.3,25
736,Tibb's Frankie,India,New Delhi,Fast Food,300,No,No,3.2,28
18294230,Veg Ex,India,New Delhi,North Indian,500,No,Yes,3.4,44
7851,Zaaika Junction,India,New Delhi,"North Indian, Mughlai, Chinese",500,No,Yes,2.6,56
2437,28 Capri Italy,India,New Delhi,Italian,1500,Yes,Yes,3.9,245
573,4S Chinese Restaurant,India,New Delhi,"Chinese, Thai",700,No,No,3.5,215
9706,Amici Cafe,India,New Delhi,"Cafe, Italian",1200,Yes,Yes,3.6,386
1507,Angels in my Kitchen,India,New Delhi,"Bakery, Desserts, Fast Food",350,No,Yes,3.8,460
